Status Resp Rx'd 4 bytes, resp 22
Records: 1875, Error: 0
rRead Meas Sent: 0
Rec Id,Meas Inv,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
80,0,-34,-197,161,0,0,-2
80,0,-33,-198,161,1,0,-2
81,0,-33,-197,162,0,0,-3
81,0,-31,-198,161,0,0,-2
82,0,-32,-198,161,0,0,-2
82,0,-32,-197,161,0,0,-2
83,0,-32,-197,161,0,0,-2
83,0,-33,-198,161,0,0,-2
84,0,-32,-197,161,0,0,-2
84,0,-30,-198,161,0,0,-2
85,0,-32,-197,161,0,0,-2
85,0,-31,-198,161,0,0,-2
86,0,-31,-198,161,0,0,-2
86,0,-31,-197,161,0,0,-2
87,0,-31,-197,161,-1,0,-1
87,0,-31,-197,161,-1,0,-1
88,0,-31,-197,162,-1,0,-1
88,0,-30,-197,161,-1,0,-1
89,0,-31,-198,160,-1,0,-1
89,0,-32,-198,161,-1,0,-1
90,0,-32,-197,160,-1,0,-1
90,0,-33,-198,161,-1,0,-1
91,0,-32,-197,161,-1,0,-1
91,0,-33,-198,161,0,0,-1
92,0,-32,-197,161,0,0,-1
92,0,-32,-197,161,0,-1,-1
93,0,-33,-198,162,0,-1,-1
93,0,-32,-197,161,0,-1,-1
94,0,-32,-198,161,0,-1,-1
94,0,-31,-197,160,0,-1,-1
95,0,-32,-198,161,0,-1,-1
95,0,-32,-197,161,0,-1,-1
96,0,-33,-198,160,0,-1,-2
96,0,-32,-198,161,0,-1,-2
97,0,-31,-198,160,0,-1,-2
97,0,-31,-198,161,0,-1,-2
98,0,-31,-198,161,0,-1,-2
98,0,-31,-198,160,0,0,-1
99,0,-31,-198,160,0,0,-1
99,0,-30,-198,161,0,0,-1
100,0,-30,-198,161,0,0,-1
100,0,-30,-198,161,0,0,-1
101,0,-30,-197,160,0,0,-1
101,0,-31,-198,161,0,0,-1
102,0,-30,-198,161,0,0,-1
102,0,-30,-198,161,0,0,-1
103,0,-31,-197,162,0,0,-1
103,0,-31,-197,162,0,0,-1
104,0,-31,-197,161,0,0,-1
104,0,-31,-198,162,0,0,-1
105,0,-31,-197,162,0,0,-1
105,0,-32,-197,161,0,0,-1
106,0,-31,-197,161,0,0,-1
106,0,-30,-197,161,0,0,-1
107,0,-31,-198,161,0,0,-1
107,0,-30,-197,161,0,0,-1
108,0,-31,-197,161,0,-1,-1
108,0,-31,-197,161,0,0,-1
109,0,-31,-198,160,0,-1,-1
109,0,-30,-198,161,0,0,-1
110,0,-31,-197,162,0,0,-1
110,0,-30,-198,161,-1,0,-1
111,0,-31,-198,162,-1,0,0
111,0,-32,-197,161,-1,0,-1
112,0,-31,-198,161,-1,0,-1
112,0,-32,-197,161,-1,0,-1
113,0,-32,-197,162,0,0,-1
113,0,-31,-197,161,0,0,-1
114,0,-31,-197,161,0,0,-1
114,0,-32,-197,161,0,0,-1
115,0,-32,-197,161,0,0,-1
115,0,-31,-197,161,0,-1,-1
116,0,-32,-197,162,0,-1,-1
116,0,-31,-197,161,0,-1,-1
117,0,-31,-198,161,0,-1,-1
117,0,-31,-197,161,0,-1,-1
118,0,-31,-197,161,-1,-1,-1
118,0,-31,-197,161,0,-1,-1
119,0,-32,-197,161,-1,-1,-1
119,0,-31,-197,161,-1,-1,-1
120,0,-32,-198,162,0,-1,0
120,0,-33,-197,161,0,-1,0
121,0,-31,-198,161,0,-1,-1
121,0,-31,-197,160,0,-1,-1
122,0,-31,-198,161,0,-1,-1
