Status Resp Rx'd 4 bytes, resp 22
Records: 1875, Error: 0
rRead Meas Sent: 0
Rec Id,Meas Inv,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
1,0,-17,-194,164,2,3,-1
1,0,-17,-191,167,3,4,-1
2,0,-18,-195,166,4,6,0
2,0,-17,-194,166,4,5,0
3,0,-17,-192,169,3,4,0
3,0,-17,-194,171,0,1,-1
4,0,-17,-192,169,-1,-2,-2
4,0,-17,-195,166,-1,-8,-3
5,0,-17,-195,165,-1,-7,-2
5,0,-17,-195,164,1,-3,-1
6,0,-17,-195,165,1,-1,-1
6,0,-17,-194,165,2,1,0
7,0,-17,-195,165,3,4,1
7,0,-17,-192,167,4,5,1
8,0,-17,-192,170,3,3,0
8,0,-16,-194,166,1,1,-1
9,0,-16,-193,167,0,1,-1
9,0,-17,-190,171,-4,-6,-3
10,0,-16,-195,165,-4,-8,-3
10,0,-16,-195,166,-3,-5,-2
11,0,-17,-195,164,-2,-3,-1
11,0,-17,-193,165,0,1,0
12,0,-17,-193,165,0,2,0
12,0,-17,-192,166,1,3,1
13,0,-17,-193,167,0,1,0
13,0,-17,-194,166,0,2,0
14,0,-17,-194,167,0,3,0
14,0,-17,-192,167,0,4,0
15,0,-17,-192,169,-2,2,0
15,0,-17,-193,168,-3,-1,-1
16,0,-18,-192,167,-3,-1,-1
16,0,-16,-193,165,-2,0,0
17,0,-18,-192,166,-2,1,0
17,0,-18,-193,166,-1,3,1
18,0,-18,-191,169,0,3,1
18,0,-18,-191,168,2,4,1
19,0,-17,-192,168,2,5,1
19,0,-17,-191,169,3,6,1
20,0,-16,-193,169,2,5,2
20,0,-17,-191,169,1,5,2
21,0,-17,-189,171,0,2,1
21,0,-17,-190,171,0,2,1
22,0,-19,-190,169,-3,-2,-1
22,0,-17,-192,169,-3,-2,-1
23,0,-17,-191,168,-2,-1,0
23,0,-18,-189,168,-1,0,0
24,0,-20,-190,169,-1,0,0
24,0,-20,-190,168,0,0,0
25,0,-16,-190,169,1,1,-1
25,0,-18,-190,169,1,1,0
26,0,-18,-191,170,1,1,0
26,0,-18,-190,170,1,1,-1
27,0,-16,-191,170,0,-1,-2
27,0,-17,-191,169,0,-1,-1
28,0,-17,-191,169,0,-1,-1
28,0,-17,-189,169,0,-1,-1
29,0,-17,-190,170,0,0,-1
29,0,-18,-189,169,0,0,-1
30,0,-17,-190,168,-1,-2,-1
30,0,-17,-189,169,-1,-1,-1
